Institution Name,EnrollmentFullTime,State,Ranking List,Rank,Undergraduate Admit Rate,Google Avg Monthly Search Volume,Student Life Grade,15-Year NPV,30-Year NPV,Instructional Wages per Full-Time Student,Average Undergraduate Tuition and Fees,Endowment per Full Time Student,Percentage of International Students,Category
Centenary College of Louisiana,549,LA,USN National College Ranking,157,0.6,2900,B,223000,660000,7282,36580,241238,0,Struggle
Central College,1077,IA,USN National College Ranking,160,0.7,9900,B,242000,677000,7365,37296,75219,0,Struggle
Central Michigan University,15966,MI,USN National University Ranking,240,0.69,60500,A,257000,665000,6130,18540,11398,0.02,Survive
Centre College,1433,KY,USN National College Ranking,53,0.73,14800,B,247000,691000,9052,41700,225826,0.05,Struggle
Chapman University,8598,CA,USN National University Ranking,125,0.54,90500,A,241000,772000,9015,52724,45833,0.05,Challenged
Chatham University,1790,PA,USN National University Ranking,185,0.55,18100,B+,199000,555000,7347,37611,44962,0,Struggle
Claremont McKenna College,1324,CA,USN National College Ranking,7,0.09,12100,A-,437000,1147000,18091,54405,630896,0.18,Survive
Clark University,2944,MA,USN National University Ranking,91,0.59,40500,B,251000,730000,9709,45730,148393,0.1,Challenged
Clarke University,878,IA,USN National University Ranking,218,0.82,9900,B,218000,620000,6392,33350,31429,0.03,Challenged
Clarkson University,3651,NY,USN National University Ranking,117,0.71,33100,B-,416000,1118000,9604,49444,54321,0.02,Struggle
Clemson University,21940,SC,USN National University Ranking,70,0.47,135000,A+,330000,841000,6840,26251,33810,0.06,Survive
Coe College,1392,IA,USN National College Ranking,130,0.67,18100,B,265000,715000,6201,44050,66726,0.02,Struggle
Colby College,2000,ME,USN National College Ranking,11,0.13,40500,A-,359000,925000,13311,55210,414007,0.11,Thrive
Colgate University,2944,NY,USN National College Ranking,17,0.25,60500,A,381000,1000000,13294,55870,313724,0.08,Thrive
College of Saint Benedict,1764,MN,USN National College Ranking,82,0.83,2400,A-,287000,799000,7210,45264,44277,0.04,Challenged
College of the Atlantic,322,ME,USN National College Ranking,82,0.67,6600,B,107000,347000,9291,43542,178191,0.33,Challenged
College of the Holy Cross,2913,MA,USN National College Ranking,27,0.38,22200,A-,370000,1061000,11361,52770,268866,0.03,Thrive
College of William and Mary,7986,VA,USN National University Ranking,40,0.37,27100,C,362000,931000,11294,34336,117148,0.06,Thrive
Colorado College,2106,CO,USN National College Ranking,27,0.15,60500,A,189000,632000,14050,55470,363357,0.09,Struggle
Colorado School of Mines,5801,CO,USN National University Ranking,84,0.49,40500,B+,538000,1364000,8060,28774,44498,0.05,Survive
Colorado State University-Fort Collins,25601,CO,USN National University Ranking,166,0.84,90500,A+,285000,744000,7702,20658,14498,0.06,Survive
Columbia University in the City of New York,26072,NY,USN National University Ranking,3,0.06,301000,A+,537000,1348000,57219,59430,416893,0.14,Survive
Concordia College at Moorhead,2041,MN,USN National College Ranking,132,0.61,2900,B+,246000,679000,6728,39878,63197,0.04,Struggle
Concordia University-Wisconsin,3722,WI,USN National University Ranking,281,0.65,12100,B,223000,640000,7804,29450,20519,0.04,Challenged
Connecticut College,1798,CT,USN National College Ranking,46,0.38,40500,B-,280000,815000,12159,54820,175300,0.08,Struggle
